Date,Station,pH,Temperature,Dissolved_Oxygen,Turbidity,BOD,River_Health
2025-02-22,Rishikesh,6.2,31,4.2,14,8.3,Critical
2025-02-23,Kanpur,5.8,23,6.2,3,4.6,Critical
2025-02-24,Prayagraj,6.3,20,4.1,14,11.7,Critical
2025-02-25,Varanasi,7.9,34,6.9,2,1.4,Healthy
2025-02-26,Patna,7.5,28,8.9,20,4.0,Warning
2025-02-27,Bhagalpur,7.3,21,6.8,9,2.3,Warning
2025-02-28,Kolkata,5.8,27,9.2,10,2.2,Warning
2025-03-01,Haridwar,6.7,25,3.3,20,11.5,Critical
2025-03-02,Rishikesh,8.3,28,3.1,19,6.9,Critical
2025-03-03,Kanpur,6.2,23,6.1,10,11.1,Critical
2025-03-04,Prayagraj,7.4,28,4.2,3,9.1,Warning
2025-03-05,Varanasi,6.6,34,6.8,19,3.4,Critical
2025-03-06,Patna,6.8,31,5.7,18,4.3,Critical
2025-03-07,Bhagalpur,7.1,29,2.7,11,3.4,Critical
2025-03-08,Kolkata,7.2,32,9.3,13,1.1,Healthy
2025-03-09,Haridwar,6.8,27,4.8,11,6.4,Critical
2025-03-10,Rishikesh,6.6,26,4.6,1,2.7,Warning
2025-03-11,Kanpur,6.0,31,5.6,2,6.7,Critical
2025-03-12,Prayagraj,8.1,31,7.6,4,6.7,Healthy
2025-03-13,Varanasi,8.5,24,5.4,12,2.5,Critical
2025-03-14,Patna,6.3,28,8.2,17,2.0,Warning
2025-03-15,Bhagalpur,8.1,35,4.4,5,5.5,Warning
2025-03-16,Kolkata,6.1,33,7.9,19,2.3,Warning
2025-03-17,Haridwar,6.9,24,5.4,9,10.6,Critical
2025-03-18,Rishikesh,7.4,32,8.5,15,4.2,Warning
2025-03-19,Kanpur,6.8,31,5.2,18,7.5,Critical
2025-03-20,Prayagraj,7.6,20,8.0,16,5.2,Warning
2025-03-21,Varanasi,6.6,29,8.1,14,7.3,Critical
2025-03-22,Patna,7.4,22,8.3,11,4.6,Warning
2025-03-23,Bhagalpur,8.1,27,9.2,7,11.7,Warning
2025-03-24,Kolkata,8.2,20,2.7,9,7.2,Critical
2025-03-25,Haridwar,7.1,29,6.3,14,6.7,Critical
2025-03-26,Rishikesh,7.2,33,5.2,12,1.4,Warning
2025-03-27,Kanpur,7.6,34,9.1,3,6.8,Healthy
2025-03-28,Prayagraj,6.1,31,6.0,18,11.2,Critical
2025-03-29,Varanasi,6.2,26,9.3,16,5.4,Critical
2025-03-30,Patna,7.9,30,7.3,3,2.9,Excellent
2025-03-31,Bhagalpur,6.7,22,8.3,17,2.9,Warning
2025-04-01,Kolkata,7.6,29,7.3,17,10.8,Warning
2025-04-02,Haridwar,6.9,25,6.2,17,3.3,Critical
2025-04-03,Rishikesh,8.2,33,3.8,19,7.6,Critical
2025-04-04,Kanpur,6.8,21,7.3,1,9.7,Healthy
2025-04-05,Prayagraj,6.6,20,8.9,13,10.3,Critical
2025-04-06,Varanasi,7.4,20,3.9,16,9.5,Critical
2025-04-07,Patna,7.3,24,6.5,14,7.6,Critical
2025-04-08,Bhagalpur,6.2,23,2.7,3,2.9,Warning
2025-04-09,Kolkata,7.2,34,6.8,2,8.2,Warning
2025-04-10,Haridwar,7.6,30,3.5,8,4.9,Critical
2025-04-11,Rishikesh,6.3,28,6.9,19,1.7,Critical
2025-04-12,Kanpur,6.3,32,2.6,8,10.8,Critical
2025-04-13,Prayagraj,7.4,21,5.6,20,3.6,Critical
2025-04-14,Varanasi,6.4,25,9.0,6,4.5,Critical
2025-04-15,Patna,8.2,34,4.6,20,3.8,Critical
2025-04-16,Bhagalpur,8.2,22,4.2,13,8.4,Critical
2025-04-17,Kolkata,7.4,33,4.7,16,1.2,Warning
2025-04-18,Haridwar,8.1,22,3.7,12,5.2,Critical
2025-04-19,Rishikesh,5.8,29,5.3,12,2.3,Critical
2025-04-20,Kanpur,7.2,32,4.9,3,11.6,Warning
2025-04-21,Prayagraj,6.9,31,6.4,13,3.1,Critical
2025-04-22,Varanasi,6.6,27,5.5,9,8.3,Critical
2025-04-23,Patna,6.7,24,4.2,5,2.0,Warning
2025-04-24,Bhagalpur,6.5,24,6.4,15,10.2,Critical
2025-04-25,Kolkata,8.0,25,5.1,7,8.9,Critical
2025-04-26,Haridwar,6.8,26,4.6,16,6.6,Critical
2025-04-27,Rishikesh,6.4,34,7.2,9,7.6,Critical
2025-04-28,Kanpur,7.0,31,6.2,13,7.7,Critical
2025-04-29,Prayagraj,6.4,23,7.2,3,7.0,Warning
2025-04-30,Varanasi,6.5,32,2.7,19,2.6,Critical
2025-05-01,Patna,5.8,22,7.4,8,4.5,Critical
2025-05-02,Bhagalpur,7.6,23,3.0,12,9.9,Critical
2025-05-03,Kolkata,7.8,26,3.0,10,2.0,Warning
2025-05-04,Haridwar,6.6,32,4.5,13,10.3,Critical
2025-05-05,Rishikesh,7.1,24,9.1,6,1.3,Healthy
2025-05-06,Kanpur,7.6,31,8.8,1,8.2,Healthy
2025-05-07,Prayagraj,7.7,27,9.5,13,4.9,Warning
2025-05-08,Varanasi,7.5,25,4.5,9,11.0,Critical
2025-05-09,Patna,7.8,21,5.3,20,2.8,Warning
2025-05-10,Bhagalpur,6.3,29,3.6,2,7.1,Critical
2025-05-11,Kolkata,7.5,25,6.5,8,7.3,Critical
2025-05-12,Haridwar,7.7,28,9.0,19,4.8,Warning
2025-05-13,Rishikesh,5.8,29,8.8,19,7.7,Critical
2025-05-14,Kanpur,5.9,27,7.3,2,9.7,Warning
2025-05-15,Prayagraj,6.4,31,7.7,3,5.6,Warning
